# Generated from LocaleLib 4.1.5 legacy keys and Minecraft 1.12.2 zh_cn.lang.
# Columns: Bukkit material name, legacy id, data value, Chinese display name.
ACACIA_DOOR_ITEM	430	0	金合欢木门
ACACIA_FENCE	192	0	金合欢栅栏
ACACIA_FENCE_GATE	187	0	金合欢栅栏门
ACACIA_STAIRS	163	0	金合欢木楼梯
ACTIVATOR_RAIL	157	0	激活铁轨
ANVIL	145	0	铁砧
ANVIL	145	1	轻微损坏的铁砧
ANVIL	145	2	严重损坏的铁砧
APPLE	260	0	苹果
ARMOR_STAND	416	0	盔甲架
ARROW	262	0	箭
BAKED_POTATO	393	0	烤马铃薯
BANNER	425	0	白色旗帜
BANNER	425	1	橙色旗帜
BANNER	425	2	品红色旗帜
BANNER	425	3	淡蓝色旗帜
BANNER	425	4	黄色旗帜
BANNER	425	5	黄绿色旗帜
BANNER	425	6	粉红色旗帜
BANNER	425	7	灰色旗帜
BANNER	425	8	淡灰色旗帜
BANNER	425	9	青色旗帜
BANNER	425	10	紫色旗帜
BANNER	425	11	蓝色旗帜
BANNER	425	12	棕色旗帜
BANNER	425	13	绿色旗帜
BANNER	425	14	红色旗帜
BANNER	425	15	黑色旗帜
BARRIER	166	0	屏障
BEACON	138	0	信标
BED	355	1	橙色床
BED	355	2	品红色床
BED	355	3	淡蓝色床
BED	355	4	黄色床
BED	355	5	黄绿色床
BED	355	6	粉红色床
BED	355	7	灰色床
BED	355	8	淡灰色床
BED	355	9	青色床
BED	355	10	紫色床
BED	355	11	蓝色床
BED	355	12	棕色床
BED	355	13	绿色床
BED	355	14	红色床
BED	355	15	黑色床
BED_BLOCK	26	1	橙色床
BED_BLOCK	26	2	品红色床
BED_BLOCK	26	3	淡蓝色床
BED_BLOCK	26	4	黄色床
BED_BLOCK	26	5	黄绿色床
BED_BLOCK	26	6	粉红色床
BED_BLOCK	26	7	灰色床
BED_BLOCK	26	8	淡灰色床
BED_BLOCK	26	9	青色床
BED_BLOCK	26	10	紫色床
BED_BLOCK	26	11	蓝色床
BED_BLOCK	26	12	棕色床
BED_BLOCK	26	13	绿色床
BED_BLOCK	26	14	红色床
BED_BLOCK	26	15	黑色床
BEDROCK	7	0	基岩
BEETROOT	434	0	甜菜根
BEETROOT_BLOCK	207	0	甜菜根
BEETROOT_SEEDS	435	0	甜菜种子
BEETROOT_SOUP	436	0	甜菜汤
BIRCH_DOOR_ITEM	428	0	白桦木门
BIRCH_FENCE	189	0	白桦木栅栏
BIRCH_FENCE_GATE	184	0	白桦木栅栏门
BIRCH_WOOD_STAIRS	135	0	桦木楼梯
BLACK_GLAZED_TERRACOTTA	250	0	黑色带釉陶瓦
BLACK_SHULKER_BOX	234	0	黑色潜影盒
BLAZE_POWDER	377	0	烈焰粉
BLAZE_ROD	369	0	烈焰棒
BLUE_GLAZED_TERRACOTTA	246	0	蓝色带釉陶瓦
BLUE_SHULKER_BOX	230	0	蓝色潜影盒
BOAT	333	0	橡木船
BOAT_ACACIA	447	0	金合欢木船
BOAT_BIRCH	445	0	桦木船
BOAT_DARK_OAK	448	0	深色橡木船
BOAT_JUNGLE	446	0	丛林木船
BOAT_SPRUCE	444	0	云杉木船
BONE	352	0	骨头
BONE_BLOCK	216	0	骨块
BOOK	340	0	书
BOOK_AND_QUILL	386	0	书与笔
BOOKSHELF	47	0	书架
BOW	261	0	弓
BOWL	281	0	碗
BREAD	297	0	面包
BREWING_STAND_ITEM	379	0	酿造台
BRICK	45	0	砖块
BRICK_STAIRS	108	0	砖楼梯
BROWN_GLAZED_TERRACOTTA	247	0	棕色带釉陶瓦
BROWN_MUSHROOM	39	0	蘑菇
BROWN_SHULKER_BOX	231	0	棕色潜影盒
BUCKET	325	0	桶
CACTUS	81	0	仙人掌
CAKE	354	0	蛋糕
CARPET	171	0	地毯
CARPET	171	1	橙色地毯
CARPET	171	2	品红色地毯
CARPET	171	3	淡蓝色地毯
CARPET	171	4	黄色地毯
CARPET	171	5	黄绿色地毯
CARPET	171	6	粉红色地毯
CARPET	171	7	灰色地毯
CARPET	171	8	淡灰色地毯
CARPET	171	9	青色地毯
CARPET	171	10	紫色地毯
CARPET	171	11	蓝色地毯
CARPET	171	12	棕色地毯
CARPET	171	13	绿色地毯
CARPET	171	14	红色地毯
CARPET	171	15	黑色地毯
CARROT	141	0	胡萝卜
CARROT_ITEM	391	0	胡萝卜
CARROT_STICK	398	0	胡萝卜钓竿
CAULDRON	118	0	炼药锅
CAULDRON_ITEM	380	0	炼药锅
CHAINMAIL_BOOTS	305	0	锁链靴子
CHAINMAIL_CHESTPLATE	303	0	锁链胸甲
CHAINMAIL_HELMET	302	0	锁链头盔
CHAINMAIL_LEGGINGS	304	0	锁链护腿
CHEST	54	0	箱子
CHORUS_FLOWER	200	0	紫颂花
CHORUS_FRUIT	432	0	紫颂果
CHORUS_FRUIT_POPPED	433	0	爆裂紫颂果
CHORUS_PLANT	199	0	紫颂植物
CLAY	82	0	粘土块
CLAY_BALL	337	0	粘土
CLAY_BRICK	336	0	红砖
COAL	263	0	煤炭
COAL	263	1	木炭
COAL_BLOCK	173	0	煤炭块
COAL_ORE	16	0	煤矿石
COBBLE_WALL	139	0	圆石墙
COBBLE_WALL	139	1	苔石墙
COBBLESTONE	4	0	圆石
COBBLESTONE_STAIRS	67	0	圆石楼梯
COCOA	127	0	可可果
COMMAND	137	0	命令方块
COMMAND_CHAIN	211	0	连锁型命令方块
COMMAND_MINECART	422	0	命令方块矿车
COMMAND_REPEATING	210	0	循环型命令方块
COMPASS	345	0	指南针
CONCRETE	251	0	白色混凝土
CONCRETE	251	1	橙色混凝土
CONCRETE	251	2	品红色混凝土
CONCRETE	251	3	淡蓝色混凝土
